rsi,rsi_umbral,rsi_distancia,rsi_distancia_rel,volatilidad,tp_pct,sl_pct,tp_sl_ratio,vol_tp_interac,spread_tp_sl,log_precio,monto,es_btc,es_eth,hora,mes,es_ny_night,ganancia_neta,target
33.2,40.0,6.799999999999997,0.16999999999999993,6.4,5.0,9.523809523809534,0.5249999999999995,32.0,10.000000000000005,8.361007108226909,5.0,0,1,9,8,0,-0.04,0
24.9,30.0,5.100000000000001,0.17000000000000004,2.21,1.77,3.9084036639090547,0.45287031540383554,3.9117,3.977495437696831,11.63598601667472,5.0,1,0,12,8,0,-0.02,0
31.4,40.0,8.600000000000001,0.21500000000000002,5.73,4.59,9.165965561725287,0.5007655733692322,26.300700000000003,9.58634752064274,8.357444538802675,5.0,0,1,13,8,0,0.03,1
22.4,30.0,7.600000000000001,0.25333333333333335,2.03,1.63,3.600484172880958,0.4527168907663165,3.3088999999999995,3.6590366328117567,11.629637527339398,5.0,1,0,16,8,0,0.02,1
38.2,40.0,1.7999999999999972,0.04499999999999993,6.94,5.0,9.523655590283608,0.525008485722771,34.7,9.999830288424825,8.458266627083818,5.0,0,1,7,8,0,0.02,1
36.0,40.0,4.0,0.1,7.21,5.0,9.523828664336676,0.5249989448805612,36.05,10.000021102433305,8.463537107839498,5.0,0,1,9,8,0,0.02,1
32.4,40.0,7.600000000000001,0.19000000000000003,6.76,5.0,9.523652831306217,0.5250086378163603,33.8,9.99982724665722,8.440502193815071,5.0,0,1,6,8,0,0.01,1
28.1,30.0,1.8999999999999986,0.06333333333333328,2.77,2.22,4.881290773123325,0.4547977375622553,6.149400000000001,4.989536958279199,11.621883451961448,5.0,1,0,7,8,0,0.03,1
28.1,40.0,11.899999999999999,0.2975,7.85,5.0,9.523788676436784,0.5250011492139379,39.25,9.999977015774071,8.37811731364493,5.0,0,1,21,8,1,0.04,1
32.2,40.0,7.799999999999997,0.19499999999999992,7.7,5.0,9.52364431935715,0.5250091070534123,38.5,9.999817862249225,8.387603733434144,5.0,0,1,22,8,1,0.03,1
